country,first_name,last_name,birth_date,start_mandate,end_mandate,wikipedia_url,intro_paragraph
be,Gaston,Eyskens,1905-04-01,1968-07-17,1973-01-26,https://nl.wikipedia.org/wiki/Gaston_Eyskens,"Gaston François Marie burggraaf Eyskens ( Lier , 1 april 1905 – Leuven , 3 januari 1988 ) was een Belgisch econoom , hoogleraar aan de Katholieke Universiteit Leuven en christendemocratisch politicus . Hij was driemaal eerste minister in de periode tussen 1949 en 1973. Hij was de eerste Belgische regeringsleider die geboren was in de 20e eeuw."
be,Leo,Tindemans,1922-04-16,1974-04-25,1978-10-20,https://nl.wikipedia.org/wiki/Leo_Tindemans,"Leonard Clemence (Leo) Tindemans ( Zwijndrecht , 16 april 1922 – Edegem , 26 december 2014 ) was een Belgisch politicus voor de CVP en minister van staat . Hij was eerste minister van twee regeringen in België (periode van 25 april 1974 tot 20 oktober 1978 ) en behaalde het grootste aantal voorkeurstemmen in de Belgische geschiedenis bij de Europese verkiezingen van 1979. Daardoor kreeg hij de bijnaam ""de man van 1 miljoen stemmen"". [ 1 ]"
be,Elio,Di Rupo,1951-07-18,2011-12-06,2014-10-11,https://nl.wikipedia.org/wiki/Elio_Di_Rupo,"Elio Di Rupo ( Morlanwelz , 18 juli 1951 ) is een Belgische politicus voor de Parti Socialiste (PS). Van 6 december 2011 tot 11 oktober 2014 was hij premier van België en werd meermaals minister en minister-president van de Waalse Regering ."
be,Jean-Luc,Dehaene,1940-08-07,1992-03-07,1999-07-12,https://nl.wikipedia.org/wiki/Jean-Luc_Dehaene,"Jean Luc Joseph Marie Dehaene [ 5 ] uitspraak ⓘ ( Montpellier , 7 augustus 1940 – Quimper , 15 mei 2014 ) was van 1992 tot 1999 premier van België . Hij was lid van de toenmalige CVP (nu CD&V ). Onder zijn regering werd België een volwaardige federale staat. Dehaene leidde twee coalitieregeringen met de socialisten en bekleedde verschillende ministerposten voor hij in 1992 eerste minister werd. Van 2000 tot 2007 was hij burgemeester van Vilvoorde . In 2002 werd hij voorgedragen als vicevoorzitter van de Europese Conventie ."
be,Frans,Schollaert,1851-08-19,1908-01-09,1911-06-17,https://nl.wikipedia.org/wiki/Frans_Schollaert,"Hij promoveerde tot doctor in de rechten en vestigde zich als advocaat aan de balie in Leuven . Van 1894 tot 1895 was hij stafhouder. In 1880 werd hij verkozen tot provincieraadslid voor het kanton Leuven. Van 1888 tot aan zijn overlijden was hij lid van de Kamer van volksvertegenwoordigers voor het arrondissement Leuven en van 1901 tot 1908 en van 1911 tot aan zijn overlijden, voorzitter van de Kamer. In 1890 was Schollaert medestichter van de Belgische Boerenbond . Bovendien was hij jarenlang ondervoorzitter en erevoorzitter van het Davidsfonds . Hij overleed ten gevolge van een nierziekte . [ 1 ]"
be,Pieter,Decker,1812-01-25,1855-03-30,1857-11-09,https://nl.wikipedia.org/wiki/Pieter_de_Decker,"Hij werd opgevoed in een jezuïetenschool , promoveerde in 1834 tot doctor in de rechten aan de Rijksuniversiteit Gent en studeerde nog enkele maanden in Parijs . Hij vestigde zich als advocaat in Gent . In 1837 was hij samen met Adolphe Dechamps medeoprichter van de Revue de Bruxelles , waar hij tot in 1841 werkzaam was als redacteur."
be,Paul-Henri,Spaak,1899-01-25,1947-03-20,1949-08-11,https://nl.wikipedia.org/wiki/Paul-Henri_Spaak,"Paul-Henri Spaak groeide op in een politiek actieve familie. Zijn grootvader Paul Janson was een voorstaand lid van de Liberale Partij , net als zijn oom langs moederkant Paul-Emile Janson , die van 1937 tot 1938 korte tijd premier was. Zijn moeder Marie Janson daartegen was politiek actief voor de socialistische BWP en werd in 1921 de eerste vrouwelijke senator. Zijn vader Paul Spaak was dan weer actief als advocaat en schrijver ."
be,Auguste,Beernaert,1829-07-26,1884-10-26,1894-03-26,https://nl.wikipedia.org/wiki/Auguste_Beernaert,"Auguste Marie François (August) Beernaert ( Oostende , 26 juli 1829 – Luzern , 6 oktober 1912 ) was een Belgisch katholiek politicus en mensenrechtenactivist . In 1909 won hij de Nobelprijs voor de Vrede ."
be,Théodore,Lefèvre,1914-01-17,1961-04-25,1965-07-28,https://nl.wikipedia.org/wiki/Th%C3%A9o_Lef%C3%A8vre,"Théodore Joseph Albéric Marie Lefèvre ( Gent , 17 januari 1914 – Sint-Lambrechts-Woluwe , 18 september 1973 ) was een Belgisch politicus . Hij was premier van België van 1961 tot 1965, aan het hoofd van de regering-Lefèvre-Spaak ."
be,Paul,None,1919-05-22,1978-10-20,1979-04-03,https://nl.wikipedia.org/wiki/Paul_Vanden_Boeynants,"Paul Emile François Henri Vanden Boeynants ( Vorst , 22 mei 1919 – Aalst , 8 januari 2001 ), in de media en door hemzelf bijgenaamd 'VDB', was een Belgisch volksvertegenwoordiger , minister en premier . Als ondernemer was hij actief in de vleesindustrie."
be,Étienne,Gerlache,1785-12-26,1831-02-27,1831-03-10,https://nl.wikipedia.org/wiki/Etienne_de_Gerlache,"De Gerlache werd geboren in Biourge (deel van Bertrix ) en was het twaalfde kind van jonkheer François de Gerlache (1743-1791) en van Marguerite de Groulart (1744-1817). Zijn vader was eigenaar van de hoogovens van Waillimont en stierf toen Constantin nog zeer jong was. In 1844 verkreeg hij, samen met andere familieleden, adelserkenning en voor zichzelf de erfelijke baronstitel. Hij was broer van Jean Baptiste Anne de Gerlache de Biourge . Hij trouwde in 1813 met Anne Buschmann ( Sankt Vith , 1787 - Elsene , 1839). Ze kregen drie zoons en twee dochters, maar geen verdere nakomelingen. Zijn vrouw en drie van zijn kinderen stierven voor hem."
be,Wilfried,Martens,1936-04-19,1981-12-17,1992-03-07,https://nl.wikipedia.org/wiki/Wilfried_Martens,"Wilfried Achiel Emma Martens uitspraak ⓘ ( Sleidinge , 19 april 1936 – Lokeren , 9 oktober 2013 ) was een Vlaams-Belgische politicus voor de CD&V (vroeger CVP) en was van april 1979 tot maart 1992 (met een korte onderbreking) eerste minister van België ."
be,Mark,Eyskens,1933-04-29,1981-04-06,1981-12-17,https://nl.wikipedia.org/wiki/Mark_Eyskens,"Marc Maria Frans burggraaf Eyskens ( uitspraak ⓘ ) ( Leuven , 29 april 1933 ) is een Belgische emeritus hoogleraar , econoom , politicus en essayist . Van april tot december 1981 was hij premier van België ."
be,Pierre,Harmel,1911-03-16,1965-07-28,1966-03-19,https://nl.wikipedia.org/wiki/Pierre_Harmel,"Harmel werd aan de Universiteit Luik doctor in de rechten , licentiaat in het notariaat en de sociale wetenschappen en behaalde er het diploma van geaggregeerde voor het hoger onderwijs . Tijdens zijn studies was hij lid en voorzitter van de Action Catholique de la Jeunesse belge ."
be,Hubert,Pierlot,1883-12-23,1939-02-22,1945-02-12,https://nl.wikipedia.org/wiki/Hubert_Pierlot,"Hubert, 1ste graaf Pierlot, werd geboren in Cugnon in de provincie Luxemburg als zoon van de industrieel Louis Pierlot en Léonie Haverland. Hij studeerde aan de Katholieke Universiteit Leuven en behaalde de diploma's van doctor in de rechten en van licentiaat in de politieke en sociale wetenschappen. Hij vestigde zich als advocaat."
be,Jean-Baptiste,Nothomb,1805-07-03,1841-04-13,1845-07-30,https://nl.wikipedia.org/wiki/Jean-Baptiste_Nothomb,"Jean Baptiste Nothomb ( Messancy , 3 juli 1805 – Berlijn , 16 september 1881 ) was een Belgisch staatsman en diplomaat die een belangrijke rol speelde bij het tot stand komen van de Belgische staat. Zo was hij een van de opstellers van de Belgische grondwet en onderhandelde hij over de verdragen die de Belgische onafhankelijkheid garandeerden."
be,Edmond,None,1915-04-18,1973-01-26,1974-04-25,https://nl.wikipedia.org/wiki/Edmond_Leburton,"Hij nam deel aan de Achttiendaagse Veldtocht in mei 1940. Leburton werd krijgsgevangene, maar kon ontsnappen. Vervolgens trad hij toe tot het Verzet, als commandant van de groep 'Refuge-Otarie' binnen het Geheim Leger ."
be,Jean,None,1900-04-10,1950-06-08,1950-08-16,https://nl.wikipedia.org/wiki/Jean_Duvieusart,"Jean Duvieusart was een zoon van notaris en voor kortstondige tijd volksvertegenwoordiger Armand Duvieusart . Hij behoorde tot een notabele familie in de streek van Charleroi, onder meer verwant met de familie Dumont de Chassart ."
be,Joseph,Lebeau,1794-01-03,1840-04-18,1841-04-13,https://nl.wikipedia.org/wiki/Joseph_Lebeau,"De vader van Lebeau was een bescheiden juwelier en hij bestemde Joseph voor het priesterschap. Daarom werd hij, toen hij zeven werd, geplaatst bij een oom, die pastoor was in Hannuit . De geestelijke staat trok Lebeau niet aan en na enkele jaren was hij weer in Hoei en werd er bediende bij de registratie. Tegelijk begon hij studies in de rechten aan de universiteit van Luik en slaagde er met enige moeite in om het doctoraat te verwerven (1819). Hij begon toen als advocaat-stagiair bij de Franse réfugié Teste in Hoei en vestigde zich weldra in Luik, waar hij al snel bekendheid verwierf door zijn pleidooien in strafzaken. Begin 1824 verloor hij stilaan de lust voor de advocatuur en stichtte, samen met Paul Devaux , Firmin Rogier , Charles Rogier en anderen, een tijdschrift onder de naam Mathieu Laensbergh waarin hij zijn ideeën over politieke aangelegenheden kon publiceren."
be,Charles,Rogier,1800-08-17,1857-11-09,1868-01-03,https://nl.wikipedia.org/wiki/Charles_Rogier,"Charles Latour Rogier (Nederlands, verouderd: Karel Rogier; Saint-Quentin 17 augustus 1800 – Sint-Joost-ten-Node , 27 mei 1885 ) was een Belgisch politicus en een van de grondleggers van de Belgische staat."
be,Barthélemy,None,1794-02-26,1871-12-07,1874-08-21,https://nl.wikipedia.org/wiki/Barth%C3%A9lemy_de_Theux_de_Meylandt,"De Theux de Meylandt was de jongste van vijf kinderen van ridder Joseph-Mathieu de Theux (1754-1825) en Marie-Antoinette de Wezeren (1767-1842).
Hijzelf was 46 toen hij in 1840 trouwde met de achttienjarige Aline du Parc (1822-1881). Ze kregen vier dochters en een zoon Albert , die trouwde maar geen nakomelingen had."
be,Felix,None,1793-04-05,1831-07-24,1832-10-20,https://nl.wikipedia.org/wiki/Felix_de_M%C3%BBelenaere,"Op 15 april 1836 verkreeg de Mûelenaere de titel van pauselijke graaf, onderscheiding die geen rechtskracht had in België. Op 19 mei 1836 werd echter het diploma gehomologeerd in België en werd hij in de adelstand opgenomen met de titel graaf . Zijn wapenspreuk luidde In hoc signo vincet ."
be,Alexander,De Croo,1975-11-03,2020-10-01,,https://nl.wikipedia.org/wiki/Alexander_De_Croo,"Alexander Francis Herman De Croo ( Vilvoorde , [ 3 ] 3 november 1975 ) is een Belgisch politicus voor Open Vld . [ 4 ] Tussen oktober 2020 en februari 2025 was De Croo premier van België van de zogenaamde Vivaldicoalitie . Hij werd aangeduid als directeur van het VN-Ontwikkelingsprogramma ."
be,Henri,de Brouckère,1801-01-25,1852-10-31,1855-03-30,https://nl.wikipedia.org/wiki/Henri_de_Brouck%C3%A8re,"Henri Ghislain Joseph Marie Hyacinthe de Brouckère ( Brugge , 25 januari 1801 - Brussel , 25 januari 1891 ) was een Belgisch liberaal politicus . Hij was onder meer eerste minister, volksvertegenwoordiger en lid van het Belgisch Nationaal Congres ."
be,Albert,None,1790-05-26,1832-10-20,1834-08-04,https://nl.wikipedia.org/wiki/Albert_Goblet_d%27Alviella,"Goblet, lid van de familie Goblet , was de zoon van een vooraanstaand Doorniks magistraat. Hij studeerde aan de Franse militaire school van Saint-Cyr en werd officier van de genie in het leger van Napoleon. In 1815 vervoegde hij het leger van het nieuwe Verenigd Koninkrijk der Nederlanden . Hij werd op 12 mei 1823 ridder 3de klasse in de Militaire Willems-Orde voor het aanleggen van de versterkingen aan de Franse grens."
be,Sylvain,Weyer,1802-01-19,1845-07-30,1846-03-31,https://nl.wikipedia.org/wiki/Sylvain_Van_de_Weyer,"Jean-Sylvain Van de Weyer ( Leuven , 19 januari 1802 – Londen , 23 mei 1874 ), beter bekend als Sylvain Van de Weyer , was een van de grondleggers van de Belgische Staat , en later ook eerste minister ."
be,Jules,Burlet,1844-04-10,1894-03-26,1896-02-25,https://nl.wikipedia.org/wiki/Jules_de_Burlet,"Jules de Burlet behoorde tot een familie die adelbrieven had ontvangen in 1763. Zijn grootvader Gérard de Burlet (1772-1857) verkreeg in 1852 adelserkenning. Zijn jongste zoon, Joseph de Burlet (1811-1879), vader van Jules, was beheerder van het discontokantoor van de Nationale Bank in Nijvel en was getrouwd met Louise Dugniolle (1818-1895), dochter van Alexandre Dugniolle de Mévius , volksvertegenwoordiger en ambtenaar."
be,Paul-Émile,None,1872-05-30,1937-11-24,1938-05-15,https://nl.wikipedia.org/wiki/Paul-Emile_Janson,"Paul-Emile Janson behoorde tot een politieke familie. Hij was de zoon van de progressieve liberaal Paul Janson , de broer van Marie Janson , de eerste vrouwelijke senator, en de oom van Paul-Henri Spaak , die meermaals premier en minister van Buitenlandse Zaken was, en scenarioschrijver Charles Spaak ."
be,Jules,Malou,1810-10-19,1884-06-16,1884-10-26,https://nl.wikipedia.org/wiki/Jules_Malou,"Jules Edouard François-Xavier Malou ( Ieper , 19 oktober 1810 - Sint-Lambrechts-Woluwe , 11 juli 1886 ) was een Belgisch politicus . Hij was onder meer leider van de Katholieke Partij , volksvertegenwoordiger , senator en eerste minister ."
be,Charles,Broqueville,1860-12-04,1932-10-22,1934-11-20,https://nl.wikipedia.org/wiki/Charles_de_Broqueville,"Charles Marie Pierre Albert graaf de Broqueville ( Postel , 4 december 1860 - Brussel , 5 september 1940 ) was de Belgische kabinetsleider [ 1 ] tijdens de Eerste Wereldoorlog (van 17 juni 1911 tot 1 juni 1918 ) en eerste minister van 22 oktober 1932 tot 20 november 1934 . Hij was lid van de Katholieke Partij ."
be,Joseph,Pholien,1884-12-28,1950-08-16,1952-01-15,https://nl.wikipedia.org/wiki/Joseph_Pholien,"Joseph Pholien was een zoon van François Pholien, advocaat-generaal bij het Hof van Cassatie , en een broer van Camille Pholien , procureur-generaal bij het hof van beroep in Brussel. Hij trouwde in 1914 met Isabelle Dor (1890-1972), dochter van een industrieel. Ze kregen een dochter, Béatrice Pholien (1915-2002)."
be,Jean,Van Houtte,1907-03-17,1952-01-15,1954-04-23,https://nl.wikipedia.org/wiki/Jean_Van_Houtte,"Jean Van Houtte was de zoon van Hubert van Houtte , historicus en hoogleraar aan de Rijksuniversiteit Gent . Hij trouwde in 1932 in Landegem met Cécile Destella (1908-2007), dochter van Hector de Stella , geneeskundige en hoogleraar aan de Rijksuniversiteit Gent. Ze waren de schoonouders van baron Jean-Charles Velge , gedelegeerd bestuurder en voorzitter van de raad van bestuur van Bekaert , en baron Jean-Pierre De Bandt , advocaat."
be,Walthère,Frère,1812-04-22,1878-06-19,1884-06-16,https://nl.wikipedia.org/wiki/Walth%C3%A8re_Fr%C3%A8re-Orban,"Hubert Joseph Walthère Frère-Orban ( Luik , 24 april 1812 – Brussel , 2 januari 1896 ) was een Belgisch liberaal politicus die zijn stempel heeft gedrukt op de eerste halve eeuw onafhankelijkheid van België."
be,Gérard,Cooreman,1852-03-25,1918-06-01,1918-11-21,https://nl.wikipedia.org/wiki/Gerard_Cooreman,Cooreman groeide op in de katholieke Franstalige Gentse burgerij. Hij studeerde aan het Gentse Sint-Barbaracollege . Cooreman promoveerde tot doctor in de rechten aan de Rijksuniversiteit Gent en vestigde zich als advocaat in Gent. Hij was nochtans vooral actief in de financiële wereld als bankier en verzekeraar. Daarnaast hield hij zich bezig met de katholieke sociale werken in Gent.
be,Jules,Vandenpeereboom,1843-03-18,1899-01-24,1899-08-05,https://nl.wikipedia.org/wiki/Jules_Vandenpeereboom,"Jules Vandenpeereboom was een zoon van de koopman Henri Vandenpeereboom en Sophie Delacroix. Hij bleef vrijgezel. Hij was een neef van Ernest Vandenpeereboom , gemeenteraadslid van Kortrijk, gedeputeerde van West-Vlaanderen en voorzitter van de Kamer van volksvertegenwoordigers en een achterneef van Paul Vandenpeereboom . Zijn vader was een neef van Jean-Baptiste Malou , Jules Malou en Alphonse Vandenpeereboom ."
be,Paul,None,1843-05-13,1899-08-05,1907-05-02,https://nl.wikipedia.org/wiki/Paul_de_Smet_de_Naeyer,"Paul de Smet was de zoon van de Gentse katoen industrieel Eugène de Smet (1813-1904) en van Eugénie Leirens (1818-1909). Eugène de Smet kreeg vergunning om 'de Naeyer' aan de familienaam toe te voegen en werd in 1886, samen met zijn twee broers, Emile en Fernand, in de erfelijke adel opgenomen. Paul de Smet de Naeyer kreeg in 1900 de titel van graaf, overdraagbaar bij eerstgeboorte."
be,Jules,Trooz,1857-02-21,1907-05-02,1907-12-31,https://nl.wikipedia.org/wiki/Jules_de_Trooz,Hij was de zoon van luitenant-kolonel bij de cavalerie Mathieu de Trooz (1812-1869) en Caroline du Chastel de la Howarderie. De Trooz volgde filosofiestudies aan de Katholieke Universiteit Leuven en werd vervolgens van 1875 tot 1890 erevoorzitter van de Arbeidersvereniging . Hij huwde in 1876 met Helene van Elewyck.
be,Jules,d'Anethan,1803-04-23,1870-07-02,1871-12-07,https://nl.wikipedia.org/wiki/Jules_Joseph_d%27Anethan,"De voornamelijk in Luxemburg gevestigde familie D'Anethan verkreeg een eerste adelerkenning in 1630. In 1787 verkreeg ze een erfelijke barontitel. In 1816 werd de adellijke status en de titel onder koning Willem I bevestigd in hoofde van advocaat François d'Anethan (1743-1824), die lid was van de Eerste Kamer in het Verenigd Koninkrijk der Nederlanden . Zijn zoon, Joseph d'Anethan (1769-1841), die vooral in de Oostenrijkse tijd een ambtenarenloopbaan doorliep, trouwde met Apolline Verseyden de Varick (1771-1855), dochter van het echtpaar Verseyden-de Crumpipen. Jules d'Anethan was een van hun vier zoons."
be,Charles,Michel,1975-12-21,2014-10-11,2019-10-27,https://nl.wikipedia.org/wiki/Charles_Michel,"Charles Yves Jean Ghislaine Michel ( Namen , 21 december 1975 ) is een Belgisch politicus voor de partij Mouvement Réformateur (MR). Van 11 oktober 2014 tot 27 oktober 2019 was hij premier van België in de regeringen Michel I en Michel II . Op 2 juli 2019 werd hij verkozen als voorzitter van de Europese Raad , in opvolging van Donald Tusk , een functie die hij van 1 december 2019 tot 30 november 2024 uitoefende."
be,Sophie,Wilmès,1975-01-15,2019-10-27,2020-10-01,https://nl.wikipedia.org/wiki/Sophie_Wilm%C3%A8s,"Sophie Wilmès ( Elsene , 15 januari 1975 ) is een Belgisch politica van de MR . Van 27 oktober 2019 tot 1 oktober 2020 was ze de eerste vrouwelijke premier van België. [ 1 ] Vanaf 1 oktober 2020 was ze vicepremier en minister van Buitenlandse Zaken en Buitenlandse Handel. Om familiale redenen legde ze op 21 april 2022 haar bevoegdheden als minister tijdelijk neer. Op 15 juli 2022 legde ze haar functie definitief neer."
us,George,Washington,1732-02-22,1789-04-30,1797-03-04,https://en.wikipedia.org/wiki/George_Washington,"George Washington (February 22, 1732 [ O.S. February 11, 1731] [ a ] – December 14 , 1799) was a Founding Father and the first president of the United States , serving from 1789 to 1797. As commander of the Continental Army , Washington led Patriot forces to victory in the American Revolutionary War against the British Empire . He is commonly known as the Father of the Nation for his role in bringing about American independence ."
us,Barack,Obama,1961-08-04,2009-01-20,2017-01-20,https://en.wikipedia.org/wiki/Barack_Obama,"Barack Hussein Obama II [ a ] (born August 4, 1961) is an American politician who served as the 44th president of the United States from 2009 to 2017. A member of the Democratic Party , he was the first African American president. Obama previously served as a U.S. senator representing Illinois from 2005 to 2008 and as an Illinois state senator from 1997 to 2004."
us,Abraham,Lincoln,1809-02-12,1861-03-04,1865-04-15,https://en.wikipedia.org/wiki/Abraham_Lincoln,"Abraham Lincoln [ b ] (February 12, 1809 – April 15, 1865) was the 16th president of the United States , serving from 1861 until his assassination in 1865. He led the United States through the American Civil War , defeating the Confederate States and playing a major role in the abolition of slavery ."
us,George,Bush,1946-07-06,2001-01-20,2009-01-20,https://en.wikipedia.org/wiki/George_W._Bush,"George Walker Bush [ a ] (born July 6, 1946) is an American politician, businessman, and former U.S. Air Force officer who was the 43rd president of the United States from 2001 to 2009. A member of the Republican Party and the eldest son of the 41st president, George H. W. Bush , he served as the 46th governor of Texas from 1995 to 2000."
us,Bill,Clinton,1946-08-19,1993-01-20,2001-01-20,https://en.wikipedia.org/wiki/Bill_Clinton,"William Jefferson  Clinton (born William Jefferson Blythe III , August 19, 1946) is an American politician and lawyer  who was the 42nd president of the United States from 1993 to 2001. A member of the Democratic Party , he previously served as the attorney general of Arkansas from 1977 to 1979 and as the governor of Arkansas from 1979 to 1981, and again from 1983 to 1992. His centrist "" Third Way "" political philosophy became known as Clintonism , which dominated his presidency and the succeeding decades of Democratic Party history ."
us,Joe,Biden,1942-11-20,2021-01-20,,https://en.wikipedia.org/wiki/Joe_Biden,"Joseph Robinette Biden Jr. [ a ] (born November 20, 1942) is an American politician who served as the 46th president of the United States from 2021 to 2025. A member of the Democratic Party , he represented Delaware in the United States Senate from 1973 to 2009 and also served as the 47th vice president under President Barack Obama from 2009 to 2017."
